Date,coke,pepsi
18/03/1994,31.75,18.8125
21/03/1994,30,18.625
22/03/1994,30,18.625
23/03/1994,30.5,18.5
24/03/1994,30.75,18.75
25/03/1994,30,18.625
28/03/1994,29.375,18.625
29/03/1994,27.875,18.5
30/03/1994,27.25,18.25
31/03/1994,28,18.3125
4/04/1994,27.75,18.125
5/04/1994,28.5,18.3125
6/04/1994,29.25,18.3125
7/04/1994,29.75,18.3125
8/04/1994,29.75,18.3125
11/04/1994,29,18.25
12/04/1994,29.75,18.375
13/04/1994,29.5625,18.4375
14/04/1994,29.5,18.4375
15/04/1994,29.75,18.375
18/04/1994,28.75,18.3125
19/04/1994,28.5,18.375
20/04/1994,28.25,18
21/04/1994,27.25,18.125
22/04/1994,27.75,17.8125
25/04/1994,27.25,18.375
26/04/1994,26.875,18.3125
28/04/1994,26.5,18.5
29/04/1994,27.25,18.25
2/05/1994,26.75,18.875
3/05/1994,27.25,18.5
4/05/1994,27,18.5
5/05/1994,27.25,18
6/05/1994,25.875,17.9375
9/05/1994,24.75,17.875
10/05/1994,24.5,17.9375
11/05/1994,25,17.6875
12/05/1994,24.5,17.875
13/05/1994,24.5,17.75
16/05/1994,24.75,18
17/05/1994,24.75,18.5
18/05/1994,24.5,18.5625
19/05/1994,24.75,18.375
20/05/1994,24.5,18.3125
23/05/1994,25.25,18.0625
24/05/1994,24.875,18.1875
25/05/1994,25.75,18.1875
26/05/1994,26.25,18.3125
27/05/1994,26,18.25
31/05/1994,26.5,18
1/06/1994,26.5,18.125
2/06/1994,27.25,18.375
3/06/1994,27.875,18
6/06/1994,27.625,17.3125
7/06/1994,27.75,17.4375
8/06/1994,27.625,17.25
9/06/1994,27.75,15.75
10/06/1994,27.75,15.5625
13/06/1994,28,15.6875
14/06/1994,28,15.9375
15/06/1994,28.5,16.0625
16/06/1994,28.5,15.875
17/06/1994,28.5,15.625
20/06/1994,28.25,15.5
21/06/1994,27.5,15.75
22/06/1994,28.25,15.875
23/06/1994,27.75,15.5625
24/06/1994,27.5,15.375
27/06/1994,28.25,15.5
28/06/1994,27.5,15.4375
29/06/1994,27.5,15.625
30/06/1994,27.5,15.3125
1/07/1994,28.25,15.25
5/07/1994,28.25,15.3125
6/07/1994,28.25,15.0625
7/07/1994,27,15.3125
8/07/1994,27,15.375
11/07/1994,27.75,15.4375
12/07/1994,28,15.3125
13/07/1994,28.75,15.25
14/07/1994,28,15.375
15/07/1994,27.5,15.625
18/07/1994,27.875,15.25
19/07/1994,27.875,15.25
20/07/1994,28.5,15.1875
21/07/1994,28.125,15.0625
22/07/1994,28.5,15.0625
25/07/1994,28,15
26/07/1994,28,15.0625
27/07/1994,28,14.9375
28/07/1994,28.75,14.875
29/07/1994,28.125,15.25
1/08/1994,27.75,15.4375
2/08/1994,28.5,15.4375
3/08/1994,28.5,15.4375
4/08/1994,28.5,15.5
5/08/1994,28.5,15.5
8/08/1994,27.75,15.75
9/08/1994,28.5,15.5625
10/08/1994,28.75,15.5625
11/08/1994,28.75,15.5625
12/08/1994,28.75,15.875
15/08/1994,28,15.5625
16/08/1994,28.75,16.1875
17/08/1994,28,16.625
18/08/1994,28,16.375
19/08/1994,29.5,16.75
22/08/1994,29.75,16.75
23/08/1994,30.75,17
24/08/1994,30.75,17.25
25/08/1994,30.5,16.9375
26/08/1994,30.125,17.125
29/08/1994,29,16.875
30/08/1994,29,16.75
31/08/1994,28.5,16.5625
1/09/1994,29,16.8125
2/09/1994,28.5,16.875
6/09/1994,28.5,16.75
7/09/1994,28.5,16.625
8/09/1994,28.5,16.75
9/09/1994,29,16.5625
12/09/1994,29,16.5
13/09/1994,29,16.5
14/09/1994,28.5,16.625
15/09/1994,28.5,17
16/09/1994,28.5,16.625
